,PRN2SVN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRN2PLANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
2007-01-01,32,61,33,34,35,36,37,38,39,40,46,58,43,41,,56,53,54,59,51,45,47,60,24,25,26,27,44,29,30,52,,,F6,D1,C2,D4,B5,C1,C5,A3,A1,E3,D2,B4,F3,F1,,B1,C4,E4,C3,E1,D3,E2,F4,D5,A5,F2,A4,B3,F5,B2,A2,
2007-01-02,32,61,33,34,35,36,37,38,39,40,46,58,43,41,,56,53,54,59,51,45,47,60,24,25,26,27,44,29,30,52,,,F6,D1,C2,D4,B5,C1,C5,A3,A1,E3,D2,B4,F3,F1,,B1,C4,E4,C3,E1,D3,E2,F4,D5,A5,F2,A4,B3,F5,B2,A2,
2007-01-03,32,61,33,34,35,36,37,38,39,40,46,58,43,41,,56,53,54,59,51,45,47,60,24,25,26,27,44,29,30,52,,,F6,D1,C2,D4,B5,C1,C5,A3,A1,E3,D2,B4,F3,F1,,B1,C4,E4,C3,E1,D3,E2,F4,D5,A5,F2,A4,B3,F5,B2,A2,
2007-01-04,32,61,33,34,35,36,37,38,39,40,46,58,43,41,,56,53,54,59,51,45,47,60,24,25,26,27,44,29,30,52,,,F6,D1,C2,D4,B5,C1,C5,A3,A1,E3,D2,B4,F3,F1,,B1,C4,E4,C3,E1,D3,E2,F4,D5,A5,F2,A4,B3,F5,B2,A2,
2007-01-05,32,61,33,34,35,36,37,38,39,40,46,58,43,41,,56,53,54,59,51,45,47,60,24,25,26,27,44,29,30,52,,,F6,D1,C2,D4,B5,C1,C5,A3,A1,E3,D2,B4,F3,F1,,B1,C4,E4,C3,E1,D3,E2,F4,D5,A5,F2,A4,B3,F5,B2,A2,
2007-01-06,32,61,33,34,35,36,37,38,39,40,46,58,43,41,,56,53,54,59,51,45,47,60,24,25,26,27,44,29,30,52,,,F6,D1,C2,D4,B5,C1,C5,A3,A1,E3,D2,B4,F3,F1,,B1,C4,E4,C3,E1,D3,E2,F4,D5,A5,F2,A4,B3,F5,B2,A2,
2007-01-07,32,61,33,34,35,36,37,38,39,40,46,58,43,41,,56,53,54,59,51,45,47,60,24,25,26,27,44,29,30,52,,,F6,D1,C2,D4,B5,C1,C5,A3,A1,E3,D2,B4,F3,F1,,B1,C4,E4,C3,E1,D3,E2,F4,D5,A5,F2,A4,B3,F5,B2,A2,
2007-01-08,32,61,33,34,35,36,37,38,39,40,46,58,43,41,,56,53,54,59,51,45,47,60,24,25,26,27,44,29,30,52,,,F6,D1,C2,D4,B5,C1,C5,A3,A1,E3,D2,B4,F3,F1,,B1,C4,E4,C3,E1,D3,E2,F4,D5,A5,F2,A4,B3,F5,B2,A2,
2007-01-09,32,61,33,34,35,36,37,38,39,40,46,58,43,41,,56,53,54,59,51,45,47,60,24,25,26,27,44,29,30,52,,,F6,D1,C2,D4,B5,C1,C5,A3,A1,E3,D2,B4,F3,F1,,B1,C4,E4,C3,E1,D3,E2,F4,D5,A5,F2,A4,B3,F5,B2,A2,
2007-01-10,32,61,33,34,35,36,37,38,39,40,46,58,43,41,,56,53,54,59,51,45,47,60,24,25,26,27,44,29,30,52,,,F6,D1,C2,D4,B5,C1,C5,A3,A1,E3,D2,B4,F3,F1,,B1,C4,E4,C3,E1,D3,E2,F4,D5,A5,F2,A4,B3,F5,B2,A2,
2007-01-11,32,61,33,34,35,36,37,38,39,40,46,58,43,41,,56,53,54,59,51,45,47,60,24,25,26,27,44,29,30,52,,,F6,D1,C2,D4,B5,C1,C5,A3,A1,E3,D2,B4,F3,F1,,B1,C4,E4,C3,E1,D3,E2,F4,D5,A5,F2,A4,B3,F5,B2,A2,
2007-01-12,32,61,33,34,35,36,37,38,39,40,46,58,43,41,,56,53,54,59,51,45,47,60,24,25,26,27,44,29,30,52,,,F6,D1,C2,D4,B5,C1,C5,A3,A1,E3,D2,B4,F3,F1,,B1,C4,E4,C3,E1,D3,E2,F4,D5,A5,F2,A4,B3,F5,B2,A2,
2007-01-13,32,61,33,34,35,36,37,38,39,40,46,58,43,41,,56,53,54,59,51,45,47,60,24,25,26,27,44,29,30,52,,,F6,D1,C2,D4,B5,C1,C5,A3,A1,E3,D2,B4,F3,F1,,B1,C4,E4,C3,E1,D3,E2,F4,D5,A5,F2,A4,B3,F5,B2,A2,
2007-01-14,32,61,33,34,35,36,37,38,39,40,46,58,43,41,,56,53,54,59,51,45,47,60,24,25,26,27,44,29,30,52,,,F6,D1,C2,D4,B5,C1,C5,A3,A1,E3,D2,B4,F3,F1,,B1,C4,E4,C3,E1,D3,E2,F4,D5,A5,F2,A4,B3,F5,B2,A2
2007-01-15,32,61,33,34,35,36,37,38,39,40,46,58,43,41,,56,53,54,59,51,45,47,60,24,25,26,27,44,29,30,52,,,F6,D1,C2,D4,B5,C1,C5,A3,A1,E3,D2,B4,F3,F1,,B1,C4,E4,C3,E1,D3,E2,F4,D5,A5,F2,A4,B3,F5,B2,A2
2007-01-16,32,61,33,34,35,36,37,38,39,40,46,58,43,41,,56,53,54,59,51,45,47,60,24,25,26,27,44,29,30,52,,,F6,D1,C2,D4,B5,C1,C5,A3,A1,E3,D2,B4,F3,F1,,B1,C4,E4,C3,E1,D3,E2,F4,D5,A5,F2,A4,B3,F5,B2,A2
2007-01-17,32,61,33,34,35,36,37,38,39,40,46,58,43,41,,56,53,54,59,51,45,47,60,24,25,26,27,44,29,30,52,,,F6,D1,C2,D4,B5,C1,C5,A3,A1,E3,D2,B4,F3,F1,,B1,C4,E4,C3,E1,D3,E2,F4,D5,A5,F2,A4,B3,F5,B2,A2
2007-01-18,32,61,33,34,35,36,37,38,39,40,46,58,43,41,,56,53,54,59,51,45,47,60,24,25,26,27,44,29,30,52,,,F6,D1,C2,D4,B5,C1,C5,A3,A1,E3,D2,B4,F3,F1,,B1,C4,E4,C3,E1,D3,E2,F4,D5,A5,F2,A4,B3,F5,B2,A2
2007-01-19,32,61,33,34,35,36,37,38,39,40,46,58,43,41,,56,53,54,59,51,45,47,60,24,25,26,27,44,29,30,52,,,F6,D1,C2,D4,B5,C1,C5,A3,A1,E3,D2,B4,F3,F1,,B1,C4,E4,C3,E1,D3,E2,F4,D5,A5,F2,A4,B3,F5,B2,A2
2007-01-20,32,61,33,34,35,36,37,38,39,40,46,58,43,41,,56,53,54,59,51,45,47,60,24,25,26,27,44,29,30,52,,,F6,D1,C2,D4,B5,C1,C5,A3,A1,E3,D2,B4,F3,F1,,B1,C4,E4,C3,E1,D3,E2,F4,D5,A5,F2,A4,B3,F5,B2,A2
2007-01-21,32,61,33,34,35,36,37,38,39,40,46,58,43,41,,56,53,54,59,51,45,47,60,24,25,26,27,44,29,30,52,,,F6,D1,C2,D4,B5,C1,C5,A3,A1,E3,D2,B4,F3,F1,,B1,C4,E4,C3,E1,D3,E2,F4,D5,A5,F2,A4,B3,F5,B2,A2
2007-01-22,32,61,33,34,35,36,37,38,39,40,46,58,43,41,,56,53,54,59,51,45,47,60,24,25,26,27,44,29,30,52,,,F6,D1,C2,D4,B5,C1,C5,A3,A1,E3,D2,B4,F3,F1,,B1,C4,E4,C3,E1,D3,E2,F4,D5,A5,F2,A4,B3,F5,B2,A2
2007-01-23,32,61,33,34,35,36,37,38,39,40,46,58,43,41,,56,53,54,59,51,45,47,60,24,25,26,27,44,29,30,52,,,F6,D1,C2,D4,B5,C1,C5,A3,A1,E3,D2,B4,F3,F1,,B1,C4,E4,C3,E1,D3,E2,F4,D5,A5,F2,A4,B3,F5,B2,A2
2007-01-24,32,61,33,34,35,36,37,38,39,40,46,58,43,41,,56,53,54,59,51,45,47,60,24,25,26,27,44,29,30,52,,,F6,D1,C2,D4,B5,C1,C5,A3,A1,E3,D2,B4,F3,F1,,B1,C4,E4,C3,E1,D3,E2,F4,D5,A5,F2,A4,B3,F5,B2,A2
2007-01-25,32,61,33,34,35,36,37,38,39,40,46,58,43,41,,56,53,54,59,51,45,47,60,24,25,26,27,44,29,30,52,,,F6,D1,C2,D4,B5,C1,C5,A3,A1,E3,D2,B4,F3,F1,,B1,C4,E4,C3,E1,D3,E2,F4,D5,A5,F2,A4,B3,F5,B2,A2
2007-01-26,32,61,33,34,35,36,37,38,39,40,46,58,43,41,,56,53,54,59,51,45,47,60,24,25,26,27,44,29,30,52,,,F6,D1,C2,D4,B5,C1,C5,A3,A1,E3,D2,B4,F3,F1,,B1,C4,E4,C3,E1,D3,E2,F4,D5,A5,F2,A4,B3,F5,B2,A2
2007-01-27,32,61,33,34,35,36,37,38,39,40,46,58,43,41,,56,53,54,59,51,45,47,60,24,25,26,27,44,29,30,52,,,F6,D1,C2,D4,B5,C1,C5,A3,A1,E3,D2,B4,F3,F1,,B1,C4,E4,C3,E1,D3,E2,F4,D5,A5,F2,A4,B3,F5,B2,A2
