# The SV state in a given line refers to the state of the satellite
# during the period from start time to end time, not the last known
# state.  As such, satellites that have been decommissioned will have
# "Operational" status data in this file.  The "Decommissioned" state
# is only used when a satellite has been formally decommissioned but
# is still transmitting data with the given code/PRN assignment.
#
# SAT, prn, svn, norad, FDMA channel, FDMA slot, system, launch year, launch DOY, launch SOD, start year, start DOY, start SOD, end year, end DOY, end SOD, orbital plane, orbital slot, satellite block/type, signal set name, mission number/ID, status, clock 1 type, clock 2 type, clock 3 type, clock 4 type, active clock
# SIG, signal set name, carrier frequency, tracking code, nav code
SIG,GPS I,L1,CA,LNav
SIG,GPS I,L1,P,LNav
SIG,GPS I,L1,Y,LNav
SIG,GPS I,L2,P,LNav
SIG,GPS I,L2,Y,LNav
SAT,GPS,31,31,-1,0,0,1993,89,0,1993,103,0,2005,297,0,C,3,IIA,GPS IIA,19,Operational,Rubidium,Rubidium,Rubidium,Cesium,255
SAT,GPS,32,1,-1,0,0,1992,327,0,1992,346,0,2008,77,0,F,4,IIA,GPS IIA,16,Operational,Rubidium,Rubidium,Rubidium,Cesium,255
SAT,GPS,32,24,-1,0,0,2012,78,0,2012,78,0,2012,117,0,F,6,IIA,GPS IIA,16,Operational,Rubidium,Rubidium,Rubidium,Cesium,255
SAT,GPS,33,3,-1,0,0,1996,88,0,1996,100,0,2013,163,86399,C,2,IIA,GPS IIA,25,Operational,Rubidium,Rubidium,Rubidium,Cesium,255
SAT,GPS,34,4,-1,0,0,1993,299,0,1993,326,0,2015,306,80999,D,4,IIA,GPS IIA,23,Operational,Rubidium,Rubidium,Rubidium,Cesium,255
SAT,GPS,35,5,-1,0,0,1993,242,0,1993,271,0,2009,95,0,B,5,IIA,GPS IIA,22,Operational,Rubidium,Rubidium,Rubidium,Cesium,255
SAT,GPS,35,1,-1,0,0,2011,153,0,2011,153,0,2011,195,0,B,5,IIA,GPS IIA,22,Operational,Rubidium,Rubidium,Rubidium,Cesium,255
SAT,GPS,35,30,-1,0,0,2011,217,0,2011,217,0,2013,128,75599,B,5,IIA,GPS IIA,22,Operational,Rubidium,Rubidium,Rubidium,Cesium,255
SAT,GPS,36,6,-1,0,0,1994,69,0,1994,87,0,2014,51,86399,C,1,IIA,GPS IIA,24,Operational,Rubidium,Rubidium,Rubidium,Cesium,255
SAT,GPS,37,7,-1,0,0,1993,133,0,1993,163,0,2007,354,0,C,4,IIA,GPS IIA,20,Operational,Rubidium,Rubidium,Rubidium,Cesium,255
SAT,GPS,37,1,-1,0,0,2008,297,0,2008,297,0,2009,6,0,C,4,IIA,GPS IIA,20,Operational,Rubidium,Rubidium,Rubidium,Cesium,255
SAT,GPS,37,24,-1,0,0,2012,118,0,2012,118,0,2012,134,0,C,6,IIA,GPS IIA,20,Operational,Rubidium,Rubidium,Rubidium,Cesium,255
SAT,GPS,38,8,-1,0,0,1997,310,0,1997,352,0,2015,119,86399,A,3,IIA,GPS IIA,28,Operational,Rubidium,Rubidium,Rubidium,Cesium,255
SAT,GPS,39,9,-1,0,0,1993,177,0,1993,201,0,2014,217,86399,A,1,IIA,GPS IIA,21,Operational,Rubidium,Rubidium,Rubidium,Cesium,255
# This is the official decommission time
SAT,GPS,40,10,-1,0,0,1996,198,0,1996,228,0,2015,197,2227,E,3,IIA,GPS IIA,26,Operational,Rubidium,Rubidium,Rubidium,Cesium,255
SAT,GPS,40,10,-1,0,0,1996,198,0,2015,197,2228,2015,215,86399,E,3,IIA,GPS IIA,26,Decommissioned,Rubidium,Rubidium,Rubidium,Cesium,255
SAT,GPS,41,14,-1,0,0,2000,315,0,2000,345,0,2132,244,0,F,1,IIR,GPS IIR,6,Operational,Rubidium,Rubidium,Rubidium,Unknown,255
SAT,GPS,42,12,-1,0,0,1997,17,0,1997,17,0,1997,17,0,F,5,IIR,GPS IIR,1,Operational,Rubidium,Rubidium,Rubidium,Unknown,255
SAT,GPS,43,13,-1,0,0,1997,204,0,1998,31,0,2132,244,0,F,2,IIR,GPS IIR,2,Operational,Rubidium,Rubidium,Rubidium,Unknown,255
SAT,GPS,44,28,-1,0,0,2000,198,0,2000,230,0,2132,244,0,B,3,IIR,GPS IIR,5,Operational,Rubidium,Rubidium,Rubidium,Unknown,255
SAT,GPS,45,21,-1,0,0,2003,90,0,2003,102,0,2132,244,0,D,3,IIR,GPS IIR,9,Operational,Rubidium,Rubidium,Rubidium,Unknown,255
SAT,GPS,46,11,-1,0,0,1999,280,0,2000,3,0,2132,244,0,D,2,IIR,GPS IIR,3,Operational,Rubidium,Rubidium,Rubidium,Unknown,255
SAT,GPS,47,22,-1,0,0,2003,355,0,2004,12,0,2132,244,0,E,2,IIR,GPS IIR,10,Operational,Rubidium,Rubidium,Rubidium,Unknown,255
SAT,GPS,48,7,-1,0,0,2008,75,0,2008,84,0,2132,244,0,A,4,IIR-M,GPS IIR-M,19,Operational,Rubidium,Rubidium,Rubidium,Unknown,255
SAT,GPS,49,1,-1,0,0,2009,83,0,2009,83,0,2011,126,0,B,2,IIR-M,GPS IIR-M,20,Operational,Rubidium,Rubidium,Rubidium,Unknown,255
SAT,GPS,49,24,-1,0,0,2012,32,0,2012,32,0,2012,76,0,B,6,IIR-M,GPS IIR-M,20,Operational,Rubidium,Rubidium,Rubidium,Unknown,255
SAT,GPS,49,24,-1,0,0,2012,222,0,2012,222,0,2012,241,86399,B,6,IIR-M,GPS IIR-M,20,Operational,Rubidium,Rubidium,Rubidium,Unknown,255
SAT,GPS,50,5,-1,0,0,2009,229,0,2009,239,0,2132,244,0,E,6,IIR-M,GPS IIR-M,21,Operational,Rubidium,Rubidium,Rubidium,Unknown,255
SAT,GPS,51,20,-1,0,0,2000,132,0,2000,153,0,2132,244,0,E,1,IIR,GPS IIR,4,Operational,Rubidium,Rubidium,Rubidium,Unknown,255
SAT,GPS,52,31,-1,0,0,2006,267,0,2006,267,0,2132,244,0,A,2,IIR-M,GPS IIR-M,15,Operational,Rubidium,Rubidium,Rubidium,Unknown,255
SAT,GPS,53,17,-1,0,0,2005,269,0,2005,350,0,2132,244,0,C,4,IIR-M,GPS IIR-M,14,Operational,Rubidium,Rubidium,Rubidium,Unknown,255
SAT,GPS,54,18,-1,0,0,2001,30,0,2001,46,0,2018,65,86399,E,4,IIR,GPS IIR,7,Operational,Rubidium,Rubidium,Rubidium,Unknown,255
SAT,GPS,55,15,-1,0,0,2007,290,0,2007,297,0,2132,244,0,F,2,IIR-M,GPS IIR-M,17,Operational,Rubidium,Rubidium,Rubidium,Unknown,255
SAT,GPS,56,16,-1,0,0,2003,29,0,2003,49,0,2132,244,0,B,1,IIR,GPS IIR,8,Operational,Rubidium,Rubidium,Rubidium,Unknown,255
SAT,GPS,57,29,-1,0,0,2007,354,0,2008,2,0,2132,244,0,C,1,IIR-M,GPS IIR-M,18,Operational,Rubidium,Rubidium,Rubidium,Unknown,255
SAT,GPS,58,12,-1,0,0,2006,320,0,2006,320,0,2132,244,0,B,4,IIR-M,GPS IIR-M,16,Operational,Rubidium,Rubidium,Rubidium,Unknown,255
SAT,GPS,59,19,-1,0,0,2004,80,0,2004,96,0,2132,244,0,C,3,IIR,GPS IIR,11,Operational,Rubidium,Rubidium,Rubidium,Unknown,255
SAT,GPS,60,23,-1,0,0,2004,175,0,2004,191,0,2132,244,0,A,1,IIR,GPS IIR,12,Operational,Rubidium,Rubidium,Rubidium,Unknown,255
SAT,GPS,61,2,-1,0,0,2004,311,0,2004,327,0,2132,244,0,A,5,IIR,GPS IIR,13,Operational,Rubidium,Rubidium,Rubidium,Unknown,255
